date,day_of_month,day_of_week,hour,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,sc_lag2,% Silica Concentrate
2017-03-10 01:00:00,10,4,1,55.199999999999996,3162.625025862068,578.7866781609193,398.75336781609184,10.113487356321839,1.7295581609195396,251.16667241379312,250.2260862068965,250.17828735632173,295.09599999999955,306.4000000000009,251.23252873563226,250.20818390804598,450.3837758620692,446.89184482758645,450.4745229885058,449.9122586206894,455.7921609195404,464.3833103448278,450.5327471264368,2.3269938949938873,1.3100000000000018
2017-03-10 02:00:00,10,4,2,55.20000000000002,3133.256388888891,537.2196611111112,399.87182222222236,10.129741666666664,1.6677842222222223,249.8805888888888,250.21405000000004,250.03331666666676,295.0959999999995,306.40000000000094,249.90949444444442,249.89757222222207,449.373361111111,450.2493555555557,450.08122222222227,450.3288055555554,448.72298333333345,455.50152777777777,451.3877000000003,2.3269938949938873,1.1100000000000045
2017-03-10 03:00:00,10,4,3,55.20000000000002,3479.482944444445,591.9067444444444,398.7638055555556,10.048403333333338,1.7327108333333332,250.16132777777773,250.10416666666666,250.04635000000002,295.0959999999995,306.40000000000094,250.2421611111113,250.4841833333332,449.9728777777778,450.8687111111111,450.9018222222223,451.1458222222222,451.13418888888884,459.9813111111111,450.29672222222206,1.3100000000000018,1.2700000000000038
2017-03-10 04:00:00,10,4,4,55.20000000000002,3228.0364358333336,593.1701055555552,399.86698333333374,9.91861400000001,1.7310558333333348,250.20877222222188,250.20476111111108,250.12086111111088,295.0959999999995,306.40000000000094,249.8251222222223,250.1576222222219,487.94070555555516,491.46211111111086,487.3872055555556,494.5281833333333,495.664011111111,502.76384999999976,494.93988888888896,1.1100000000000045,1.3600000000000063
2017-03-10 05:00:00,10,4,5,55.20000000000002,3327.2807388888887,619.7108055555552,399.61508888888903,9.746029222222225,1.765879222222224,249.91780000000014,250.16049444444434,250.01350000000008,295.0959999999995,306.40000000000094,250.24960000000013,250.07863888888883,549.0315388888889,549.9831555555558,549.4595722222222,549.9754833333335,549.5125333333333,560.6962999999997,550.2717722222221,1.2700000000000038,1.340000000000003
2017-03-10 06:00:00,10,4,6,55.20000000000002,3405.1622222222213,621.8785388888889,399.74934444444443,9.892237111111113,1.7650640555555526,249.89829444444445,250.1110222222223,250.07538333333335,295.0959999999995,306.40000000000094,249.94249444444446,250.1498777777776,550.5995666666666,549.929138888889,549.0892444444446,549.6096999999997,549.2207000000002,561.0516444444444,551.0907666666668,1.3600000000000063,1.1500000000000037
2017-03-10 07:00:00,10,4,7,54.95000000000002,2865.8784277777777,618.1863666666666,400.3451333333335,10.180425555555553,1.7654223333333332,250.3506666666666,250.2765944444444,250.06684444444437,295.0959999999995,306.40000000000094,250.0500333333335,250.06273333333326,549.5399777777783,550.7790500000002,550.9951833333332,550.4599722222224,549.721688888889,569.6192777777776,550.5758166666662,1.340000000000003,2.7599999999999936
2017-03-10 08:00:00,10,4,8,54.95000000000002,3306.7536266666675,595.6809833333333,400.12874444444486,10.180202777777778,1.7661564444444426,249.80609444444428,250.23687777777766,250.00902777777742,295.0959999999995,306.40000000000094,250.20051666666652,250.0518944444442,550.3122999999997,550.0976999999997,549.3166277777781,549.6357722222219,548.4477277777775,567.5989555555554,550.0110166666666,1.1500000000000037,2.6499999999999915
2017-03-10 09:00:00,10,4,9,54.95000000000002,3784.48711111111,592.3679833333333,400.2784666666668,9.940502833333335,1.7600502777777733,250.0637888888887,249.90368888888875,250.00544444444455,295.0959999999995,306.40000000000094,250.1678166666665,250.07197222222229,549.879238888889,549.2459611111112,550.3712000000002,551.3699999999994,549.1485277777776,563.1761277777779,550.217227777778,2.7599999999999936,1.7299999999999995
2017-03-10 10:00:00,10,4,10,54.95000000000002,3316.753911111112,582.9060944444445,399.77366666666666,10.104197277777777,1.761051388888886,250.09676666666658,250.00297777777766,250.04623888888887,295.0959999999995,306.40000000000094,250.11123333333308,249.9897777777776,550.1431277777779,549.3267944444441,549.1419055555556,548.2125583333334,546.7677722222223,556.4767166666668,549.2194222222223,2.6499999999999915,1.810000000000002
